Anime,Temporada,Episódio,Episódio do Anime,Capa,Gênero,Ano,Status,Linguagem
Black Clover,1,82,82,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,83,83,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,84,84,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,85,85,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,86,86,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,87,87,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,88,88,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,89,89,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,90,90,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,91,91,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,92,92,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
Black Clover,1,93,93,https://i.pinimg.com/736x/57/c1/63/57c163f8d59c55a36115021b192d18f5.jpg,Ação,2017,Completo,Dublado
